mjd,mag,magerr
51075.427203,20.011,0.017
51818.396856,20.121,0.018
51819.482054,20.193,0.021
51875.225925,20.181,0.02
52171.384953,20.159,0.021
52171.458364,20.201,0.019
52173.361276,20.149,0.021
52224.341416,20.246,0.023
52225.306717,20.278,0.019
52234.297868,20.275,0.022
52261.261224,20.196,0.019
52283.128596,20.241,0.025
52287.141720,20.205,0.022
52288.141139,20.254,0.02
52551.414426,20.235,0.02
52552.460412,20.206,0.02
52557.434773,20.203,0.021
52558.447299,20.199,0.018
52578.318908,20.238,0.019
52585.281888,20.221,0.019
52585.336102,20.234,0.017
52908.409341,20.242,0.02
52910.418763,20.375,0.022
52912.388780,20.293,0.022
52934.341246,20.251,0.02
52935.345934,20.256,0.019
52936.337173,20.26,0.019
52963.269012,20.245,0.018
52971.259928,20.247,0.027
53270.401264,20.323,0.019
53272.451172,20.354,0.022
53286.419891,20.383,0.026
53288.378384,20.353,0.02
53294.426056,20.321,0.031
53296.373063,20.326,0.029
53298.422832,20.358,0.023
53302.374053,20.37,0.036
53312.329630,20.359,0.038
53314.330784,20.439,0.029
53319.318579,20.382,0.028
53351.191317,20.411,0.023
53616.435136,20.401,0.024
53622.448365,20.433,0.02
53627.405463,20.334,0.022
53628.396428,20.364,0.035
53634.397836,20.394,0.066
53638.439173,20.413,0.029
53639.443425,20.339,0.027
53640.403209,20.354,0.026
53641.442591,20.504,0.03
53643.445683,20.321,0.026
53646.464615,20.348,0.023
53657.401476,20.443,0.053
53663.386023,20.356,0.062
53663.465034,20.356,0.07
53664.400338,20.551,0.048
53665.363995,20.453,0.056
53665.464966,20.576,0.052
53666.456107,20.47,0.042
53668.375624,20.431,0.041
53668.453583,20.435,0.045
53669.359583,20.432,0.032
53669.463236,20.298,0.041
53670.380476,20.361,0.033
53670.459554,20.398,0.033
53671.444332,20.435,0.029
53673.348463,20.387,0.023
53674.343821,20.418,0.025
53675.345351,20.435,0.023
53679.405178,20.44,0.028
53680.353049,20.42,0.023
53681.396692,20.479,0.026
53683.411599,20.378,0.067
53684.358188,20.34,0.044
53686.352481,20.441,0.062
53687.409866,20.257,0.108
53693.354939,20.307,0.062
53696.362410,20.339,0.034
53697.353717,20.336,0.032
53699.375775,20.287,0.028
53700.352673,20.356,0.026
53705.339343,20.352,0.025
53975.424342,20.338,0.077
53989.434303,20.229,0.046
53994.447348,20.286,0.027
53996.431081,20.312,0.057
53997.457891,20.327,0.02
54000.409734,20.28,0.031
54005.444258,20.295,0.021
54007.459883,20.28,0.031
54009.383678,20.231,0.019
54009.458100,20.283,0.02
54010.385243,20.302,0.017
54011.448186,20.241,0.024
54012.378108,20.297,0.028
54012.460960,20.266,0.03
54019.443165,20.221,0.037
54020.416105,20.292,0.038
54024.465620,20.191,0.034
54025.447173,20.259,0.024
54028.453952,20.33,0.024
54030.409373,20.318,0.026
54035.453345,20.33,0.028
54037.358872,20.363,0.021
54040.373318,20.418,0.025
54041.408836,20.453,0.029
54047.403863,20.46,0.084
54049.399810,20.374,0.051
54050.359930,20.386,0.046
54056.365745,20.283,0.029
54059.360032,20.405,0.032
54061.371141,20.387,0.038
54062.364923,20.372,0.025
54064.361381,20.396,0.025
54068.345535,20.252,0.027
54346.440984,20.09,0.032
54348.444945,20.179,0.025
54357.403262,20.168,0.021
54358.400743,20.081,0.028
54362.453063,20.097,0.024
54365.433785,20.104,0.017
54376.448149,20.207,0.028
54381.453369,20.19,0.019
54382.433246,20.169,0.028
54385.451066,20.193,0.023
54386.445695,20.158,0.023
54387.451546,20.166,0.023
54388.449920,20.211,0.021
54390.444001,20.122,0.028
54391.452430,20.155,0.036
54392.447496,20.175,0.023
54402.444742,20.163,0.074
54403.363774,20.146,0.043
54409.362390,20.164,0.025
54412.383319,20.151,0.028
