#Table1
plate,mjd,fiberid,z,subclass,e_bv_sfd,h_beta_flux,h_beta_eqw,oiii_h_beta_flux_ratio,oiii_h_gamma_flux_ratio,h_beta_h_gamma_flux_ratio
304,51609,408,0.05209216,,0.03632782,116.535,-0.9988101,0.2246707,0.2314928,1.030365
1443,53055,358,0.2248686,STARBURST BROADLINE,0.02253275,4215.459,-21.6249,0.1243922,0.2960408,2.379898
1833,54561,567,0.05100999,,0.04346284,51.26057,-0.4272045,1.151556,1.346378,1.169181
2102,54115,521,0.06168568,,0.007514635,44.48927,-0.3869972,1.375886,1.818914,1.321995
355,51788,414,0.09262062,STARBURST BROADLINE,0.04385718,1590.3,-10.94744,0.7112553,1.879482,2.642485
494,51915,124,0.1842309,BROADLINE,0.01408172,1780.146,-14.36981,1.842156,3.919306,2.127565
519,52283,280,0.2402315,BROADLINE,0.02099199,2368.552,-10.43072,1.031102,2.025708,1.964605
2647,54495,378,0.0581607,,0.01662156,33.89186,-0.4854688,1.305768,1.048939,0.8033115
1059,52618,628,0.06183716,STARBURST BROADLINE,0.04036992,1786.943,-12.15111,0.9926052,1.884467,1.898506
1673,53462,108,0.2206272,STARBURST BROADLINE,0.01719172,2303.882,-27.78081,0.6055393,1.353253,2.23479
2758,54523,597,0.05463336,,0.02438948,34.03604,-0.3452289,1.519325,3.010827,1.981688
2884,54526,557,0.05376228,,0.02082672,21.13997,-0.2838545,0.5937402,0.7648848,1.288248
367,51997,234,0.07246289,,0.03426394,29.21882,-0.5293303,0.905154,10.15381,11.21777
367,51997,266,0.06294216,,0.02614157,22.63772,-0.3536663,1.375658,0.781786,0.5682995
1059,52618,215,0.2527351,BROADLINE,0.04490913,2892.682,-12.84545,0.4724707,1.082772,2.291722
1237,52762,621,0.1807287,,0.02854004,289.9603,-2.628795,0.002657284,0.003137551,1.180736
2158,54209,114,0.136087,STARBURST BROADLINE,0.04312729,4356.603,-24.24099,0.1663319,0.4054691,2.437711
2233,53845,594,0.09969537,BROADLINE,0.02095873,568.3914,-4.384429,0.9054357,1.030027,1.137604
2234,53823,566,0.2907429,STARBURST BROADLINE,0.01494053,2358.598,-31.7185,0.2418122,0.5600708,2.31614
437,51876,234,0.2110707,STARBURST BROADLINE,0.05195461,1051.452,-13.81064,1.242465,2.333672,1.87826
1579,53473,88,0.08424754,BROADLINE,0.03708306,498.1334,-3.723757,1.241625,1.564971,1.260422
1819,54540,140,0.1743191,STARBURST BROADLINE,0.04324507,3329.567,-17.07933,0.7795799,1.648178,2.114187
2142,54208,637,0.06449452,STARBURST BROADLINE,0.02924547,6220.282,-21.8575,0.6218057,1.380025,2.219383
2202,53566,592,0.1490557,STARBURST BROADLINE,0.04924946,1958.264,-20.19644,0.2783858,0.5782274,2.077073
394,51913,422,0.0673677,,0.02306357,4.0751,-0.121332,3.588143,0.8652527,0.2411422
572,52289,442,0.1617697,BROADLINE,0.03441319,1354.625,-16.94715,0.336162,0.7606404,2.26272
941,52709,502,0.2261382,BROADLINE,0.01363905,1017.218,-10.46554,1.060062,2.068691,1.951482
1314,53050,408,0.06415562,,0.01811635,8.779606,-0.1936383,4.118233,1.451492,0.3524551
1713,53827,525,0.05337936,,0.02275189,53.13551,-0.379366,0.5370587,1.908875,3.554315
2773,54533,640,0.2134592,BROADLINE,0.03172268,1652.594,-14.82997,0.2488954,0.4847117,1.947451
306,51690,385,0.05572877,,0.03816396,63.0027,-0.5128815,0.7185122,2.006457,2.792516
414,51869,328,0.1846759,STARBURST BROADLINE,0.1184658,3112.576,-20.72246,0.4732547,1.127101,2.381596
454,51908,627,0.05919914,BROADLINE,0.03877603,33.56794,-0.394253,1.305828,0.9443101,0.7231506
546,52205,573,0.2341814,STARBURST BROADLINE,0.07704655,1138.206,-13.6674,0.324718,0.7705054,2.372845
721,52228,503,0.08289477,BROADLINE,0.05492552,30.93255,-0.3888011,1.976428,3.67563,1.859734
829,52296,275,0.1516362,BROADLINE,0.03367133,503.3342,-5.502056,0.8140226,1.095802,1.346157
978,52441,524,0.1103326,STARBURST BROADLINE,0.0337978,7375.022,-31.24908,0.7790549,1.730155,2.220839
990,52465,427,0.08385639,BROADLINE,0.0684317,2930.013,-20.36466,0.3550133,0.8128837,2.289727
1426,52993,551,0.05348795,BROADLINE,0.01755651,2276.364,-15.99699,0.3851112,0.694003,1.802085
1625,53140,134,0.08044197,STARBURST BROADLINE,0.02060772,2319.595,-25.66527,0.230475,0.5005008,2.171605
973,52426,114,0.1632425,STARBURST BROADLINE,0.02267168,5054.773,-23.87314,0.1671373,0.4119034,2.464462
